f array_size kin_E deflec np s_h_c r_c_c p_c_c ke_over_c conf_perc
1 20 10 0.250000 10000 0 1 0 0 1000000.000000
2 20 10 0.250000 10000 0 1 0 1 500000.000000
3 20 10 0.250000 10000 1 1 0 1 333333.333333
4 20 10 0.250000 10000 1 1 1 1 250000.000000
5 20 10 0.250000 10000 2 1 1 1 200000.000000
6 20 10 0.250000 10000 3 1 1 1 166666.666667
7 20 10 0.250000 10000 3 1 1 2 142857.142857
8 20 10 0.250000 10000 4 1 1 2 125000.000000
9 20 10 0.250000 10000 5 1 1 2 111111.111111
10 20 10 0.250000 10000 5 1 1 3 100000.000000
11 20 10 0.250000 10000 5 1 1 4 90909.090909
12 20 10 0.250000 10000 5 1 2 4 83333.333333
13 20 10 0.250000 10000 5 1 3 4 76923.076923
14 20 10 0.250000 10000 5 2 3 4 71428.571429
15 20 10 0.250000 10000 5 2 3 5 66666.666667
16 20 10 0.250000 10000 6 2 3 5 62500.000000
17 20 10 0.250000 10000 6 2 4 5 58823.529412
18 20 10 0.250000 10000 6 2 5 5 55555.555556
19 20 10 0.250000 10000 7 2 5 5 52631.578947
20 20 10 0.250000 10000 8 2 5 5 50000.000000
21 20 10 0.250000 10000 9 2 5 5 47619.047619
22 20 10 0.250000 10000 9 2 5 6 45454.545455
23 20 10 0.250000 10000 9 2 6 6 43478.260870
24 20 10 0.250000 10000 10 2 6 6 41666.666667
25 20 10 0.250000 10000 10 2 7 6 40000.000000
26 20 10 0.250000 10000 10 2 7 7 38461.538462
27 20 10 0.250000 10000 11 2 7 7 37037.037037
28 20 10 0.250000 10000 11 2 7 8 35714.285714
29 20 10 0.250000 10000 11 2 8 8 34482.758621
30 20 10 0.250000 10000 11 2 8 9 33333.333333
31 20 10 0.250000 10000 11 2 8 10 32258.064516
32 20 10 0.250000 10000 11 2 8 11 31250.000000
33 20 10 0.250000 10000 12 2 8 11 30303.030303
34 20 10 0.250000 10000 13 2 8 11 29411.764706
35 20 10 0.250000 10000 13 2 8 12 28571.428571
36 20 10 0.250000 10000 13 2 8 13 27777.777778
37 20 10 0.250000 10000 13 2 8 14 27027.027027
38 20 10 0.250000 10000 14 2 8 14 26315.789474
39 20 10 0.250000 10000 15 2 8 14 25641.025641
40 20 10 0.250000 10000 15 2 9 14 25000.000000
41 20 10 0.250000 10000 16 2 9 14 24390.243902
42 20 10 0.250000 10000 16 2 9 15 23809.523810
43 20 10 0.250000 10000 17 2 9 15 23255.813953
44 20 10 0.250000 10000 18 2 9 15 22727.272727
45 20 10 0.250000 10000 18 2 9 16 22222.222222
46 20 10 0.250000 10000 19 2 9 16 21739.130435
47 20 10 0.250000 10000 19 3 9 16 21276.595745
48 20 10 0.250000 10000 20 3 9 16 20833.333333
49 20 10 0.250000 10000 21 3 9 16 20408.163265
50 20 10 0.250000 10000 21 3 9 17 20000.000000
51 20 10 0.250000 10000 21 3 9 18 19607.843137
52 20 10 0.250000 10000 22 3 9 18 19230.769231
53 20 10 0.250000 10000 22 3 9 19 18867.924528
54 20 10 0.250000 10000 22 4 9 19 18518.518519
55 20 10 0.250000 10000 23 4 9 19 18181.818182
56 20 10 0.250000 10000 23 5 9 19 17857.142857
57 20 10 0.250000 10000 23 5 9 20 17543.859649
58 20 10 0.250000 10000 23 6 9 20 17241.379310
59 20 10 0.250000 10000 23 6 10 20 16949.152542
60 20 10 0.250000 10000 23 7 10 20 16666.666667
61 20 10 0.250000 10000 24 7 10 20 16393.442623
62 20 10 0.250000 10000 25 7 10 20 16129.032258
63 20 10 0.250000 10000 26 7 10 20 15873.015873
64 20 10 0.250000 10000 27 7 10 20 15625.000000
65 20 10 0.250000 10000 27 7 11 20 15384.615385
66 20 10 0.250000 10000 27 8 11 20 15151.515152
67 20 10 0.250000 10000 27 8 12 20 14925.373134
68 20 10 0.250000 10000 27 9 12 20 14705.882353
69 20 10 0.250000 10000 28 9 12 20 14492.753623
70 20 10 0.250000 10000 28 9 13 20 14285.714286
71 20 10 0.250000 10000 28 9 13 21 14084.507042
72 20 10 0.250000 10000 28 9 13 22 13888.888889
73 20 10 0.250000 10000 29 9 13 22 13698.630137
74 20 10 0.250000 10000 30 9 13 22 13513.513514
75 20 10 0.250000 10000 31 9 13 22 13333.333333
76 20 10 0.250000 10000 31 9 14 22 13157.894737
77 20 10 0.250000 10000 31 9 15 22 12987.012987
78 20 10 0.250000 10000 31 9 16 22 12820.512821
79 20 10 0.250000 10000 31 9 16 23 12658.227848
80 20 10 0.250000 10000 32 9 16 23 12500.000000
81 20 10 0.250000 10000 32 9 16 24 12345.679012
82 20 10 0.250000 10000 33 9 16 24 12195.121951
83 20 10 0.250000 10000 33 9 16 25 12048.192771
84 20 10 0.250000 10000 34 9 16 25 11904.761905
85 20 10 0.250000 10000 35 9 16 25 11764.705882
86 20 10 0.250000 10000 35 9 17 25 11627.906977
87 20 10 0.250000 10000 36 9 17 25 11494.252874
88 20 10 0.250000 10000 36 9 17 26 11363.636364
89 20 10 0.250000 10000 37 9 17 27 11111.111111
90 20 10 0.250000 10000 37 9 18 27 10989.010989
91 20 10 0.250000 10000 37 9 18 28 10869.565217
92 20 10 0.250000 10000 38 9 18 28 10752.688172
93 20 10 0.250000 10000 39 9 18 28 10638.297872
94 20 10 0.250000 10000 39 10 18 28 10526.315789
95 20 10 0.250000 10000 40 10 18 28 10416.666667
96 20 10 0.250000 10000 40 10 18 29 10309.278351
97 20 10 0.250000 10000 41 10 18 29 10204.081633
98 20 10 0.250000 10000 42 10 18 29 10101.010101
99 20 10 0.250000 10000 42 10 18 30 10000.000000
100 20 10 0.250000 10000 43 10 18 30 9900.990099
101 20 10 0.250000 10000 43 10 18 31 9803.921569
102 20 10 0.250000 10000 43 10 19 31 9708.737864
103 20 10 0.250000 10000 44 10 19 31 9615.384615
104 20 10 0.250000 10000 44 10 20 31 9523.809524
105 20 10 0.250000 10000 44 10 21 31 9433.962264
106 20 10 0.250000 10000 44 10 21 32 9345.794393
107 20 10 0.250000 10000 45 10 21 32 9259.259259
108 20 10 0.250000 10000 45 10 22 32 9174.311927
109 20 10 0.250000 10000 45 10 23 32 9090.909091
110 20 10 0.250000 10000 45 10 23 33 9009.009009
111 20 10 0.250000 10000 45 10 23 34 8928.571429
112 20 10 0.250000 10000 45 10 24 34 8849.557522
113 20 10 0.250000 10000 45 10 24 35 8771.929825
114 20 10 0.250000 10000 45 11 24 35 8695.652174
115 20 10 0.250000 10000 45 11 25 35 8620.689655
116 20 10 0.250000 10000 45 11 25 36 8547.008547
117 20 10 0.250000 10000 45 11 25 37 8474.576271
118 20 10 0.250000 10000 46 11 25 37 8403.361345
119 20 10 0.250000 10000 47 11 25 37 8333.333333
120 20 10 0.250000 10000 47 12 25 37 8264.462810
121 20 10 0.250000 10000 47 12 25 38 8196.721311
122 20 10 0.250000 10000 48 12 25 38 8130.081301
123 20 10 0.250000 10000 48 12 25 39 8064.516129
124 20 10 0.250000 10000 48 12 25 40 8000.000000
125 20 10 0.250000 10000 48 12 25 41 7936.507937
126 20 10 0.250000 10000 49 12 25 41 7874.015748
127 20 10 0.250000 10000 49 12 25 42 7812.500000
128 20 10 0.250000 10000 50 12 25 42 7751.937984
129 20 10 0.250000 10000 50 12 25 43 7692.307692
130 20 10 0.250000 10000 50 12 26 43 7633.587786
131 20 10 0.250000 10000 50 12 26 44 7575.757576
132 20 10 0.250000 10000 50 12 27 44 7518.796992
133 20 10 0.250000 10000 51 12 27 44 7462.686567
134 20 10 0.250000 10000 52 12 27 44 7407.407407
135 20 10 0.250000 10000 53 12 27 44 7352.941176
136 20 10 0.250000 10000 54 12 27 44 7299.270073
137 20 10 0.250000 10000 54 12 28 44 7246.376812
138 20 10 0.250000 10000 54 12 29 44 7194.244604
139 20 10 0.250000 10000 55 12 29 44 7142.857143
140 20 10 0.250000 10000 55 13 29 44 7092.198582
141 20 10 0.250000 10000 56 13 29 44 7042.253521
142 20 10 0.250000 10000 56 13 30 44 6993.006993
143 20 10 0.250000 10000 56 13 31 44 6944.444444
144 20 10 0.250000 10000 56 13 31 45 6896.551724
145 20 10 0.250000 10000 57 13 31 45 6849.315068
146 20 10 0.250000 10000 57 13 32 45 6802.721088
147 20 10 0.250000 10000 57 13 33 45 6756.756757
